Car_Name,company,Year,Present_Price,Kms_Driven,Fuel_Type,Selling_Price
alto k10,maruti suzuki,2016,3.76,10079,Petrol,3
sx4,maruti suzuki,2003,7.98,62000,Petrol,2.25
baleno,maruti suzuki,2016,7.87,24524,Petrol,5.85
alto k10,maruti suzuki,2014,3.98,46706,Petrol,2.55
sx4,maruti suzuki,2008,7.15,58000,Petrol,1.95
dzire,maruti suzuki,2014,8.06,45780,Diesel,5.5
omni,maruti suzuki,2012,2.69,50000,Petrol,1.25
ciaz,maruti suzuki,2014,12.04,15000,Petrol,7.5
ritz,maruti suzuki,2013,4.89,64532,Petrol,2.65
wagon r,maruti suzuki,2006,4.15,65000,Petrol,1.05
ertiga,maruti suzuki,2015,7.71,25870,Petrol,5.8
ciaz,maruti suzuki,2017,9.29,37000,Petrol,7.75
fortuner,toyota,2012,30.61,104707,Diesel,14.9
fortuner,toyota,2015,30.61,40000,Diesel,23
innova,other,2017,19.77,15000,Diesel,18
fortuner,toyota,2013,30.61,135000,Diesel,16
innova,other,2005,10.21,90000,Petrol,2.75
corolla altis,toyota,2009,15.04,70000,Petrol,3.6
etios cross,other,2015,7.27,40534,Petrol,4.5
corolla altis,toyota,2010,18.54,50000,Petrol,4.75
etios g,toyota,2014,6.8,39485,Petrol,4.1
fortuner,toyota,2014,35.96,41000,Diesel,19.99
corolla altis,toyota,2013,18.61,40001,Petrol,6.95
etios cross,other,2015,7.7,40588,Petrol,4.5
fortuner,toyota,2014,35.96,78000,Diesel,18.75
fortuner,toyota,2015,35.96,47000,Diesel,23.5
fortuner,toyota,2017,36.23,6000,Diesel,33
etios liva,toyota,2014,6.95,45000,Diesel,4.75
innova,other,2017,23.15,11000,Petrol,19.75
fortuner,toyota,2010,20.45,59000,Diesel,9.25
corolla altis,toyota,2011,13.74,88000,Petrol,4.35
corolla altis,toyota,2016,20.91,12000,Petrol,14.25
etios liva,toyota,2014,6.76,71000,Diesel,3.95
corolla altis,toyota,2011,12.48,45000,Diesel,4.5
corolla altis,toyota,2013,18.61,56001,Petrol,7.45
etios liva,toyota,2011,5.71,43000,Petrol,2.65
etios cross,other,2014,8.93,83000,Diesel,4.9
etios g,toyota,2015,6.8,36000,Petrol,3.95
corolla altis,toyota,2013,14.68,72000,Petrol,5.5
corolla,toyota,2004,12.35,135154,Petrol,1.5
corolla altis,toyota,2010,22.83,80000,Petrol,5.25
fortuner,toyota,2012,30.61,89000,Diesel,14.5
corolla altis,toyota,2016,14.89,23000,Diesel,14.73
etios gd,toyota,2015,7.85,40000,Diesel,4.75
innova,other,2017,25.39,15000,Diesel,23
innova,other,2015,13.46,38000,Diesel,12.5
innova,other,2005,13.46,197176,Diesel,3.49
camry,other,2006,23.73,142000,Petrol,2.5
land cruiser,other,2010,92.6,78000,Diesel,35
corolla altis,toyota,2012,13.74,56000,Petrol,5.9
etios liva,toyota,2013,6.05,47000,Petrol,3.45
etios g,toyota,2014,6.76,40000,Petrol,4.75
corolla altis,toyota,2009,18.61,62000,Petrol,3.8
innova,other,2014,16.09,58242,Diesel,11.25
innova,other,2005,13.7,75000,Petrol,3.51
fortuner,toyota,2015,30.61,40000,Diesel,23
corolla altis,toyota,2008,22.78,89000,Petrol,4
corolla altis,toyota,2012,18.61,72000,Petrol,5.85
innova,other,2016,25.39,29000,Diesel,20.75
corolla altis,toyota,2017,18.64,8700,Petrol,17
corolla altis,toyota,2013,18.61,45000,Petrol,7.05
fortuner,toyota,2010,20.45,50024,Diesel,9.65
Royal Enfield Thunder 500,other,2016,1.9,3000,Petrol,1.75
UM Renegade Mojave,other,2017,1.82,1400,Petrol,1.7
KTM RC200,other,2017,1.78,4000,Petrol,1.65
Bajaj Dominar 400,bajaj,2017,1.6,1200,Petrol,1.45
Royal Enfield Classic 350,other,2017,1.47,4100,Petrol,1.35
KTM RC390,other,2015,2.37,21700,Petrol,1.35
Hyosung GT250R,other,2014,3.45,16500,Petrol,1.35
Royal Enfield Thunder 350,other,2013,1.5,15000,Petrol,1.25
Royal Enfield Thunder 350,other,2016,1.5,18000,Petrol,1.2
Royal Enfield Classic 350,other,2017,1.47,11000,Petrol,1.2
KTM RC200,other,2016,1.78,6000,Petrol,1.2
Royal Enfield Thunder 350,other,2016,1.5,8700,Petrol,1.15
KTM 390 Duke ,other,2014,2.4,7000,Petrol,1.15
Mahindra Mojo XT300,other,2016,1.4,35000,Petrol,1.15
Royal Enfield Classic 350,other,2015,1.47,17000,Petrol,1.15
Royal Enfield Classic 350,other,2015,1.47,17500,Petrol,1.11
Royal Enfield Classic 350,other,2013,1.47,33000,Petrol,1.1
Royal Enfield Thunder 500,other,2015,1.9,14000,Petrol,1.1
Royal Enfield Classic 350,other,2015,1.47,26000,Petrol,1.1
Royal Enfield Thunder 500,other,2013,1.9,5400,Petrol,1.05
Bajaj Pulsar RS200,bajaj,2016,1.26,5700,Petrol,1.05
Royal Enfield Thunder 350,other,2011,1.5,6900,Petrol,1.05
Royal Enfield Bullet 350,other,2016,1.17,6000,Petrol,1.05
Royal Enfield Classic 350,other,2013,1.47,46500,Petrol,1
Royal Enfield Classic 500,other,2012,1.75,11500,Petrol,0.95
Royal Enfield Classic 500,other,2009,1.75,40000,Petrol,0.9
Bajaj Avenger 220,bajaj,2017,0.95,1300,Petrol,0.9
Bajaj Avenger 150,bajaj,2016,0.8,7000,Petrol,0.75
Honda CB Hornet 160R,honda,2017,0.87,3000,Petrol,0.8
Yamaha FZ S V 2.0,yamaha,2017,0.84,5000,Petrol,0.78
Honda CB Hornet 160R,honda,2017,0.87,11000,Petrol,0.75
Yamaha FZ 16,yamaha,2015,0.82,18000,Petrol,0.75
Bajaj Avenger 220,bajaj,2017,0.95,3500,Petrol,0.75
Bajaj Avenger 220,bajaj,2016,0.95,500,Petrol,0.72
TVS Apache RTR 160,tvs,2017,0.81,11800,Petrol,0.65
Bajaj Pulsar 150,bajaj,2015,0.74,5000,Petrol,0.65
Honda CBR 150,honda,2014,1.2,23500,Petrol,0.65
Hero Extreme,hero,2013,0.787,16000,Petrol,0.65
Honda CB Hornet 160R,honda,2016,0.87,15000,Petrol,0.6
Bajaj Avenger 220 dtsi,bajaj,2015,0.95,16600,Petrol,0.6
Honda CBR 150,honda,2013,1.2,32000,Petrol,0.6
Bajaj Avenger 150 street,bajaj,2016,0.8,20000,Petrol,0.6
Yamaha FZ  v 2.0,yamaha,2015,0.84,29000,Petrol,0.6
Yamaha FZ  v 2.0,yamaha,2016,0.84,25000,Petrol,0.6
Bajaj Pulsar  NS 200,bajaj,2014,0.99,25000,Petrol,0.6
TVS Apache RTR 160,tvs,2012,0.81,19000,Petrol,0.6
Hero Extreme,hero,2014,0.787,15000,Petrol,0.55
Yamaha FZ S V 2.0,yamaha,2015,0.84,58000,Petrol,0.55
Bajaj Pulsar 220 F,bajaj,2010,0.94,45000,Petrol,0.52
Bajaj Pulsar 220 F,bajaj,2016,0.94,24000,Petrol,0.51
TVS Apache RTR 180,tvs,2011,0.826,6000,Petrol,0.5
Hero Passion X pro,hero,2016,0.55,31000,Petrol,0.5
Bajaj Pulsar NS 200,bajaj,2012,0.99,13000,Petrol,0.5
Bajaj Pulsar NS 200,bajaj,2013,0.99,45000,Petrol,0.5
Yamaha Fazer ,yamaha,2014,0.88,8000,Petrol,0.5
Honda Activa 4G,honda,2017,0.51,4300,Petrol,0.48
TVS Sport ,tvs,2017,0.52,15000,Petrol,0.48
Yamaha FZ S V 2.0,yamaha,2015,0.84,23000,Petrol,0.48
Honda Dream Yuga ,honda,2017,0.54,8600,Petrol,0.48
Honda Activa 4G,honda,2017,0.51,4000,Petrol,0.45
Bajaj Avenger Street 220,bajaj,2011,0.95,24000,Petrol,0.45
TVS Apache RTR 180,tvs,2014,0.826,23000,Petrol,0.45
Bajaj Pulsar NS 200,bajaj,2012,0.99,14500,Petrol,0.45
Bajaj Avenger 220 dtsi,bajaj,2010,0.95,27000,Petrol,0.45
Hero Splender iSmart,hero,2016,0.54,14000,Petrol,0.45
Activa 3g,honda,2016,0.54,500,Petrol,0.45
Hero Passion Pro,hero,2016,0.55,1000,Petrol,0.45
TVS Apache RTR 160,tvs,2014,0.81,42000,Petrol,0.42
Honda CB Trigger,honda,2013,0.73,12000,Petrol,0.42
Hero Splender iSmart,hero,2015,0.54,14000,Petrol,0.4
Yamaha FZ S ,yamaha,2012,0.83,5500,Petrol,0.4
Hero Passion Pro,hero,2015,0.55,6700,Petrol,0.4
Bajaj Pulsar 135 LS,bajaj,2014,0.64,13700,Petrol,0.4
Activa 4g,honda,2017,0.51,1300,Petrol,0.4
Honda CB Unicorn,honda,2015,0.72,38600,Petrol,0.38
Hero Honda CBZ extreme,hero,2011,0.787,75000,Petrol,0.38
Honda Karizma,honda,2011,1.05,30000,Petrol,0.35
Honda Activa 125,honda,2016,0.57,24000,Petrol,0.35
TVS Jupyter,tvs,2014,0.52,19000,Petrol,0.35
Honda Karizma,honda,2010,1.05,213000,Petrol,0.31
Hero Honda Passion Pro,hero,2012,0.51,60000,Petrol,0.3
Hero Splender Plus,hero,2016,0.48,50000,Petrol,0.3
Honda CB Shine,honda,2013,0.58,30000,Petrol,0.3
Bajaj Discover 100,bajaj,2013,0.47,21000,Petrol,0.27
Bajaj Pulsar 150,bajaj,2008,0.75,26000,Petrol,0.25
Suzuki Access 125,other,2008,0.58,1900,Petrol,0.25
TVS Wego,tvs,2010,0.52,22000,Petrol,0.25
Honda CB twister,honda,2013,0.51,32000,Petrol,0.25
Hero Glamour,hero,2013,0.57,18000,Petrol,0.25
Hero Super Splendor,hero,2005,0.57,55000,Petrol,0.2
Bajaj Pulsar 150,bajaj,2008,0.75,60000,Petrol,0.2
Bajaj Discover 125,bajaj,2012,0.57,25000,Petrol,0.2
Hero Hunk,hero,2007,0.75,49000,Petrol,0.2
Hero  Ignitor Disc,hero,2013,0.65,24000,Petrol,0.2
Hero  CBZ Xtreme,hero,2008,0.787,50000,Petrol,0.2
Bajaj  ct 100,bajaj,2015,0.32,35000,Petrol,0.18
Activa 3g,honda,2008,0.52,500000,Petrol,0.17
Honda CB twister,honda,2010,0.51,33000,Petrol,0.16
Bajaj Discover 125,bajaj,2011,0.57,35000,Petrol,0.15
Honda CB Shine,honda,2007,0.58,53000,Petrol,0.12
Bajaj Pulsar 150,bajaj,2006,0.75,92233,Petrol,0.1
i20,hyndai,2010,6.79,58000,Diesel,3.25
grand i10,hyndai,2015,5.7,28200,Petrol,4.4
i10,hyndai,2011,4.6,53460,Petrol,2.95
eon,hyndai,2015,4.43,28282,Petrol,2.75
grand i10,hyndai,2016,5.7,3493,Petrol,5.25
xcent,hyndai,2017,7.13,12479,Petrol,5.75
grand i10,hyndai,2015,5.7,34797,Petrol,5.15
i20,hyndai,2017,8.1,3435,Petrol,7.9
grand i10,hyndai,2015,5.7,21125,Diesel,4.85
i10,hyndai,2012,4.6,35775,Petrol,3.1
elantra,hyndai,2015,14.79,43535,Diesel,11.75
creta,hyndai,2016,13.6,22671,Petrol,11.25
i20,hyndai,2011,6.79,31604,Petrol,2.9
grand i10,hyndai,2017,5.7,20114,Petrol,5.25
verna,hyndai,2012,9.4,36100,Petrol,4.5
eon,hyndai,2016,4.43,12500,Petrol,2.9
eon,hyndai,2016,4.43,15000,Petrol,3.15
verna,hyndai,2014,9.4,45078,Petrol,6.45
verna,hyndai,2012,9.4,36000,Petrol,4.5
eon,hyndai,2017,4.43,38488,Petrol,3.5
i20,hyndai,2013,6.79,32000,Petrol,4.5
i20,hyndai,2014,7.6,77632,Diesel,6
verna,hyndai,2015,9.4,61381,Diesel,8.25
verna,hyndai,2013,9.4,36198,Petrol,5.11
i10,hyndai,2011,4.6,22517,Petrol,2.7
grand i10,hyndai,2015,5.7,24678,Petrol,5.25
i10,hyndai,2011,4.43,57000,Petrol,2.55
verna,hyndai,2012,9.4,60000,Diesel,4.95
i20,hyndai,2012,6.79,52132,Diesel,3.1
verna,hyndai,2013,9.4,45000,Diesel,6.15
verna,hyndai,2017,9.4,15001,Petrol,9.25
elantra,hyndai,2015,14.79,12900,Petrol,11.45
grand i10,hyndai,2013,5.7,53000,Diesel,3.9
grand i10,hyndai,2015,5.7,4492,Petrol,5.5
verna,hyndai,2017,9.4,15141,Petrol,9.1
eon,hyndai,2016,4.43,11849,Petrol,3.1
creta,hyndai,2015,13.6,68000,Diesel,11.25
verna,hyndai,2013,9.4,60241,Petrol,4.8
eon,hyndai,2012,4.43,23709,Petrol,2
verna,hyndai,2012,9.4,32322,Diesel,5.35
xcent,hyndai,2015,7.13,35866,Petrol,4.75
xcent,hyndai,2014,7.13,34000,Petrol,4.4
i20,hyndai,2016,7.6,7000,Petrol,6.25
verna,hyndai,2013,9.4,49000,Diesel,5.95
verna,hyndai,2012,9.4,71000,Diesel,5.2
i20,hyndai,2012,6.79,35000,Petrol,3.75
verna,hyndai,2015,9.4,36000,Petrol,5.95
i10,hyndai,2013,4.6,30000,Petrol,4
i20,hyndai,2016,7.6,17000,Petrol,5.25
creta,hyndai,2016,13.6,35934,Diesel,12.9
city,honda,2013,9.9,56701,Petrol,5
brio,honda,2015,6.82,31427,Petrol,5.4
city,honda,2014,9.9,48000,Diesel,7.2
city,honda,2013,9.9,54242,Petrol,5.25
brio,honda,2012,5.35,53675,Petrol,3
city,honda,2016,13.6,49562,Petrol,10.25
city,honda,2015,13.6,40324,Petrol,8.5
city,honda,2015,13.6,25000,Petrol,8.4
amaze,honda,2014,7,36054,Petrol,3.9
city,honda,2016,13.6,29223,Petrol,9.15
brio,honda,2016,5.97,5600,Petrol,5.5
amaze,honda,2015,5.8,40023,Petrol,4
jazz,honda,2016,7.7,16002,Petrol,6.6
amaze,honda,2015,7,40026,Petrol,4
jazz,honda,2017,8.7,21200,Petrol,6.5
amaze,honda,2014,7,35000,Petrol,3.65
city,honda,2016,9.4,19434,Diesel,8.35
brio,honda,2017,5.8,19000,Petrol,4.8
city,honda,2015,10,18828,Petrol,6.7
city,honda,2011,10,69341,Petrol,4.1
city,honda,2009,10,69562,Petrol,3
city,honda,2015,10,27600,Petrol,7.5
jazz,honda,2010,7.5,61203,Petrol,2.25
brio,honda,2014,6.8,16500,Petrol,5.3
city,honda,2016,13.6,30753,Petrol,10.9
city,honda,2015,13.6,24800,Petrol,8.65
city,honda,2015,13.6,21780,Petrol,9.7
jazz,honda,2016,8.4,4000,Petrol,6
city,honda,2014,13.6,40126,Petrol,6.25
brio,honda,2015,5.9,14465,Petrol,5.25
city,honda,2006,7.6,50456,Petrol,2.1
city,honda,2014,14,63000,Diesel,8.25
city,honda,2016,11.8,9010,Petrol,8.99
brio,honda,2013,5.9,9800,Petrol,3.5
jazz,honda,2016,8.5,15059,Petrol,7.4
jazz,honda,2016,7.9,28569,Petrol,5.65
amaze,honda,2015,7.5,44000,Petrol,5.75
city,honda,2015,13.6,34000,Petrol,8.4
city,honda,2016,13.6,10980,Petrol,10.11
amaze,honda,2014,6.4,19000,Petrol,4.5
brio,honda,2015,6.1,31427,Petrol,5.4
jazz,honda,2016,8.4,12000,Petrol,6.4
city,honda,2010,9.9,38000,Petrol,3.25
amaze,honda,2014,6.8,33019,Petrol,3.75
city,honda,2015,13.09,60076,Diesel,8.55
city,honda,2016,11.6,33988,Diesel,9.5
brio,honda,2015,5.9,60000,Petrol,4
city,honda,2009,11,87934,Petrol,3.35
city,honda,2017,12.5,9000,Diesel,11.5
brio,honda,2016,5.9,5464,Petrol,5.3
